set_name,set_code,release_date,standard_rotation,eternal_set
Lord of the Rings: Tales of Middle-earth,LTR,2023-06-23,FALSE,TRUE
Wilds of Eldraine,WOE,2023-09-08,FALSE,FALSE
The Lost Caverns of Ixalan,LCI,2023-11-17,FALSE,FALSE
Murders at Karlov Manor,MKM,2024-02-09,FALSE,FALSE
Outlaws of Thunder Junction,OTJ,2024-04-19,FALSE,FALSE
Modern Horizons 3,MH3,2024-06-14,FALSE,TRUE
Bloomburrow,BLB,2024-08-02,TRUE,FALSE
Duskmourn: House of Horror,DSK,2024-09-07,FALSE,FALSE
Aetherdrift,AER,2025-02-14,FALSE,FALSE
Tarkir: Dragonstorm,TDM,2025-04-11,FALSE,FALSE
Final Fantasy,FIN,2025-06-13,FALSE,FALSE
Edge of Eternities,EOE,2025-08-01,TRUE,FALSE
